Kode I-O,Nama Sektor,Kode sektor KSM,Klasifikasi Sektor Makro (KSM),KSM (17 Sektor),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,180,301,302,303,304,305,309,310,409,509,600,700
10,Karet dan tanaman tahunan lainnya,A.1.c,Tanaman Perkebunan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,446292.5837,1662.734891,0,0,0,0,0,0,0,0,0,0,0,0,2418881.092,28598.79954,0,0,0,0,0,0,0,33264.70626,128153.4734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33758.91283,0,0,0,0,0,0,0,0,0,0,0,3090612.302,0,0,933450.1346,17247.87673,903415.9344,1854113.946,4944726.248,0,0,4944726.248,4944726.248
11,Peternakan dan hasil-hasilnya,A.1.d,Peternakan,"Pertanian, Kehutanan, dan Perikanan",124519.7477,11655.51446,20186.42959,71061.851,3472.93554,12853.67405,68071.55902,6233.346817,22972.27533,15271.23338,141426.1714,0,0,0,0,0,0,0,0,3769107.47,401844.0366,0,0,928476.1489,146184.7681,100244.7615,0,0,0,3128.010053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131137.6078,0,0,0,0,0,0,0,0,0,0,0,5977847.541,810034.8443,0,192110.1881,21640.66085,551802.2515,1575587.945,7553435.486,0,0,7553435.486,7553435.486
12,"Jasa pertanian, pascapanen, perburuan, dan kegiatan penunjang",A.1.e,Jasa Pertanian dan Perburuan,"Pertanian, Kehutanan, dan Perikanan",634007.9148,49151.57039,142938.1344,173782.7429,1833.129437,7913.92313,220946.4643,19502.75441,40422.34306,363037.4611,67047.03449,61189.63579,102790.7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884563.809,0,0,0,0,107235.0971,107235.0971,1991798.907,0,0,1991798.907,1991798.907
13,Kehutanan dan penebangan kayu,A.2 ,Kehutanan dan penebangan Kayu,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,0,1890.351026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493355.069,10736.08038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227.246466,0,0,0,0,0,0,0,0,0,0,0,1508208.747,524.682136,0,4649.196964,293.886788,71019.58115,76487.34704,1584696.094,0,0,1584696.094,1584696.094
14,Perikanan tangkap,A.3 ,Perikanan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,0,0,20675.21058,2420.671583,0,0,0,0,2106581.122,0,0,0,226637.1736,2896.706851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28698.28887,0,0,0,0,0,0,0,0,0,0,0,2387909.174,253744.0071,0,0,5859.362187,176952.2275,436555.5967,2824464.771,0,0,2824464.771,2824464.771
15,Perikanan budidaya,A.3,Perikanan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,56053.5099,0,0,0,0,1000652.603,0,0,0,366808.1132,9139.85374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53770.51209,0,0,0,0,0,0,0,0,0,0,0,1486424.592,214785.2419,0,0,4787.000986,116350.1813,335922.4242,1822347.017,0,0,1822347.017,1822347.017
16,"Minyak bumi, gas bumi, panas bumi, dan jasa penunjangnya",B.1 ,"Pertambangan Minyak, Gas dan Panas Bumi",Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.530469,5.110721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.620956,0,0,0,0,0,0,0,0,0,1.442484,0.519268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.223898,0,0,0,28.937391,10355.75732,10384.69471,10516.91861,0,0,10516.91861,10516.91861
17,"Batubara, bijih logam, mineral lainnya, dan jasa penunjang",B.2,Pertambangan Batubara dan Lignit,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.364488,10194.74894,82700.87177,122.778451,0,0,0,0,0,0,0,0,0,0,0,0,0,7475.178056,0,875.840882,1904.137259,0,0,0,0,0,0,666.978035,0.002798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103964.9007,0,0,0,-398.087209,149792.8893,149394.8021,253359.7028,0,0,253359.7028,253359.7028
18,"Penggalian batu, pasir, tanah liat, garam, dan penggalian lainnya",B.4,Pertambangan dan Penggalian Lainnya,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.390904,865.199351,687522.0674,593.568781,0,0,0,0,0,0,0,0,0,0,0,0,0,35125.06769,0,2255795.985,32276.21827,0,0,0,0,0,0,340.670796,0.078834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012673.247,0,0,0,186828.0387,13969051.66,14155879.7,17168552.94,0,0,17168552.94,17168552.94
19,Industri produk batubara dan pengilangan minyak bumi,C.1,Industri Batubara dan Pengilangan Migas,Industri Pengolahan,45131.00205,5714.042972,6659.875413,24252.30506,0,0,36739.37281,5351.325374,13192.87604,121209.6949,9152.633231,291555.1129,81680.39029,345661.6786,105303.8999,0,17230.48089,632899.6739,12556753.63,0,0,0,0,0,0,0,0,0,0,0,0,0,306007.5213,267143.5946,5787236.349,176429.7714,0,0,0,0,0,0,206721.5724,2890.10847,23190.37074,0,479.551989,2672.870616,2588763.996,763.435573,1398240.2,113857.9106,5104.407588,0,0,0,0,0,0,0,2163.243816,3535.785731,0,0,3012.557717,0,25186701.24,7781377.906,0,0,-74878.99793,56997337.31,64703836.22,89890537.46,0,0,89890537.46,89890537.46
